City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ribeira grande,38.5167,-28.7,18.21,95,16,2.68,PT,1715484991
83,punta arenas,-53.15,-70.9167,3.06,65,40,5.14,CL,1715484920
84,saint-francois,46.4154,3.9054,14.25,88,0,1.03,FR,1715484992
85,umluj,25.0213,37.2685,29.03,58,3,2.1,SA,1715484992
86,acarau,-2.8856,-40.12,25.45,85,46,4.14,BR,1715484710
87,great falls,47.5002,-111.3008,17.66,48,0,3.09,US,1715484753
88,badger,64.8,-147.5333,14.95,25,20,5.14,US,1715484992
89,isafjordur,66.0755,-23.124,4.39,94,100,3.26,IS,1715484993
90,plettenberg bay,-34.0527,23.3716,12.24,75,3,2.34,ZA,1715484735
91,pierre,44.3683,-100.351,21.51,56,0,2.57,US,1715484993
92,mosjoen,65.836,13.1908,8.06,100,100,1.03,NO,1715484993
93,labytnangi,66.6572,66.4183,-2.57,89,98,5.26,RU,1715484993
94,lepsy,46.235,78.9456,17.6,57,100,6.1,KZ,1715484994
95,weno,7.4515,151.8468,31.97,74,100,3.6,FM,1715484994
96,crane,31.3974,-102.3501,18.02,87,50,7.36,US,1715484994
97,woolgoolga,-30.1106,153.2007,21.93,67,22,2.71,AU,1715484995
98,constantia,44.1833,28.65,14.38,78,16,4.84,RO,1715484995
99,bermejo,-32.8833,-68.8,10.95,50,100,2.06,AR,1715484481
100,aktobe,50.2797,57.2072,12.05,82,20,4.0,KZ,1715484995
101,letlhakeng,-24.0944,25.0298,16.96,32,0,2.56,BW,1715484995
102,hadibu,12.65,54.0333,28.35,74,28,1.01,YE,1715484995
103,bayanhongor,46.7167,100.1167,19.12,13,31,3.35,MN,1715484995
104,kayangel,8.0823,134.7173,28.78,79,3,6.16,PW,1715484996
105,clarence-rockland,45.5501,-75.291,12.34,89,100,3.1,CA,1715484996
106,priozersk,61.0393,30.1291,5.05,63,26,3.04,RU,1715484890
107,tulagi,-9.0996,160.1476,28.27,73,26,9.18,SB,1715484838
108,cranbrook,49.4999,-115.7688,21.91,24,75,1.54,CA,1715484996
109,ilulissat,69.2167,-51.1,-0.99,80,100,2.57,GL,1715484996
110,nemuro,43.3236,145.575,9.53,92,100,11.69,JP,1715484997
111,chul'man,56.8479,124.9104,0.15,83,100,3.58,RU,1715484997
112,arraial do cabo,-22.9661,-42.0278,23.85,88,4,4.51,BR,1715484997
113,terme,41.2092,36.9739,12.96,89,100,4.37,TR,1715484997
114,la punta,-33.1837,-66.3127,6.45,74,11,4.97,AR,1715484997
115,nadym,65.5333,72.5167,-1.69,85,100,7.02,RU,1715484891
116,kiama,-34.6833,150.8667,20.56,95,97,1.34,AU,1715484997
117,mugia,43.1041,-9.2179,13.84,92,100,0.78,ES,1715484998
118,college,64.8569,-147.8028,14.99,26,100,5.14,US,1715484998
119,stanley,54.868,-1.6985,10.01,88,100,1.54,GB,1715484781
120,marsa alam,25.0757,34.8918,26.28,69,0,4.26,EG,1715484998
121,port mathurin,-19.6833,63.4167,25.27,77,16,9.15,MU,1715484998
122,codrington,-38.2667,141.9667,17.76,55,51,2.66,AU,1715484998
123,iqaluit,63.7506,-68.5145,-6.15,85,75,10.8,CA,1715484998
124,burang,30.25,81.1667,6.29,63,69,2.74,CN,1715484999
125,beau vallon,-20.4189,57.6953,25.12,79,47,7.56,MU,1715484999
126,mongu,-15.2484,23.1274,16.62,55,48,2.5,ZM,1715484760
127,puerto lleras,3.0223,-73.4044,22.53,99,92,0.19,CO,1715484999
128,isiro,2.7739,27.616,19.69,80,37,1.32,CD,1715484999
129,oliveira dos brejinhos,-12.3169,-42.8961,22.97,78,72,2.21,BR,1715484999
130,hastings,50.8552,0.5729,15.29,93,100,3.76,GB,1715485000
131,amga,60.8953,131.9608,7.81,51,100,2.56,RU,1715485000
132,qamdo,31.1667,97.2333,7.67,25,1,2.08,CN,1715484890
133,prado,-17.3411,-39.2208,23.81,88,55,2.09,BR,1715485000
134,st. john's,47.5649,-52.7093,1.2,97,100,6.17,CA,1715485000
135,keelung,25.1283,121.7419,32.75,50,98,2.23,TW,1715484889
136,nar'yan-mar,67.6713,53.087,-3.83,94,97,5.36,RU,1715485001
137,quibdo,5.6947,-76.6611,24.44,97,97,0.18,CO,1715485001
138,port hedland,-20.3167,118.5667,31.03,25,0,8.23,AU,1715485001
139,arkansas city,37.062,-97.0384,21.79,72,0,1.54,US,1715485001
140,grand falls-windsor,48.9332,-55.6649,3.06,88,100,0.89,CA,1715485001
141,puerto baquerizo moreno,-0.9,-89.6,23.15,85,100,4.16,EC,1715484702
142,praia da vitoria,38.7333,-27.0667,18.2,94,20,2.31,PT,1715485002
143,kimberley,-28.7323,24.7623,4.83,75,0,0.0,ZA,1715485002
144,smara,26.7384,-11.6719,16.52,85,0,5.37,EH,1715485002
145,wick,58.4333,-3.0833,11.03,82,100,4.63,GB,1715485002
146,wakkanai,45.4094,141.6739,19.99,60,75,9.26,JP,1715484723
147,vila velha,-20.3297,-40.2925,25.97,78,20,3.6,BR,1715485002
148,veshenskaya,49.6303,41.7334,8.39,86,100,5.36,RU,1715485002
149,longyearbyen,78.2186,15.6401,-0.09,80,75,6.17,SJ,1715484947
150,pyay,18.8167,95.2167,37.88,29,0,0.68,MM,1715484752
151,saint-philippe,-21.3585,55.7679,20.77,80,62,5.64,RE,1715485003
152,mount pearl,47.5166,-52.7813,0.74,97,100,6.17,CA,1715485003
153,chittarkonda,18.1167,82.0833,34.32,38,6,1.48,IN,1715485003
154,orange city,28.9489,-81.2987,23.97,85,0,0.0,US,1715485004
155,lihue,21.9789,-159.3672,24.58,72,75,7.2,US,1715485004
156,margherita,27.2833,95.6833,32.82,37,81,1.82,IN,1715485004
157,whitehorse,60.7161,-135.0538,8.43,30,75,7.72,CA,1715485004
158,noumea,-22.2763,166.4572,25.0,99,91,7.04,NC,1715484672
159,hailey,43.5196,-114.3153,15.92,51,40,2.57,US,1715485004
160,kapa'a,22.0752,-159.319,24.99,78,75,7.2,US,1715485005
161,afaahiti,-17.75,-149.2833,27.93,80,12,5.2,PF,1715485005
162,cockburn town,21.4612,-71.1419,26.26,84,0,2.44,TC,1715485005
163,tual,-5.6667,132.75,28.09,81,100,8.14,ID,1715484754
164,west island,-12.1568,96.8225,29.99,79,75,5.14,CC,1715485005
165,yellowknife,62.456,-114.3525,2.29,80,75,4.63,CA,1715485005
